Date,Open,High,Low,Close,Volume
1-Jun-06,471.6,474.0,442.0,444.42,21900.0
3-Jul-06,495.1,509.68,493.0,498.97,9100.0
13-Jul-06,518.0,526.4,517.0,521.66,6800.0
24-Jul-06,464.0,469.58,449.2,466.52,51700.0
1-Aug-06,483.2,491.0,475.8,480.92,24600.0
11-Aug-06,541.0,555.0,541.0,552.09,32200.0
21-Aug-06,566.01,574.0,562.02,567.33,13600.0
1-Sep-06,890.2917679558011,568.0,556.0,564.04,12300.0
11-Sep-06,573.6,573.6,560.0,564.85,17100.0
21-Sep-06,579.0,579.6,574.67,578.39,5900.0
13-Oct-06,606.0,622.0,601.4,617.79,24800.0
1-Nov-06,718.0,729.0,716.0,717.56,23500.0
10-Nov-06,700.04,704.2,690.0,692.55,46100.0
21-Nov-06,676.92,685.0,676.0,679.01,11500.0
1-Dec-06,704.0,752.0,701.01,738.24,33300.0
11-Dec-06,767.0,789.0,740.0,758.22,130800.0
21-Dec-06,712.0,712.98,696.0,703.65,27800.0
2-Jan-07,747.0,755.2,740.0,742.81,21700.0
12-Jan-07,719.4,730.0,713.0,723.85,28600.0
22-Jan-07,722.0,726.8,715.6,717.3,6200.0
21-Feb-07,768.0,779.6,760.42,769.61,43300.0
1-Mar-07,724.0,731.0,705.0,721.62,28500.0
12-Mar-07,700.0,728.0,692.6,718.53,30200.0
22-Mar-07,705.2,723.01,704.2,718.04,64900.0
2-Apr-07,705.0,705.0,676.2,679.72,14800.0
12-Apr-07,724.8,858.8929178470254,720.0,730.26,12600.0
14-May-07,846.2,859.8,842.0,856.57,34300.0
23-May-07,872.4,879.0,866.0,874.93,8700.0
1-Jun-07,922.0,949.0,921.0,939.38,37900.0
11-Jun-07,911.4,917.8,901.0,903.26,14100.0
21-Jun-07,927.0,950.0,927.0,943.84,38300.0
2-Jul-07,1090.0,1148.0,1090.0,1114.75,412100.0
12-Jul-07,1085.9,1124.9,1085.9,867.0988169014084,110800.0
23-Jul-07,1061.0,1147.4,1061.0,1136.1,121000.0
1-Aug-07,1125.0,1125.0,1077.0,1081.55,152500.0
10-Aug-07,1050.0,1103.0,1050.0,1086.2,219700.0
13-Sep-07,1229.0,1232.0,1213.1,1218.6,36700.0
24-Sep-07,1318.0,1324.0,1296.25,1307.4,93000.0
1-Oct-07,1310.0,1324.0,1291.15,1302.85,56900.0
11-Oct-07,1424.0,1435.0,1395.1,1425.45,71700.0
22-Oct-07,1386.0,1435.0,1327.0,1376.55,165200.0
1-Nov-07,1614.0,1650.0,1565.0,1590.75,203500.0
13-Dec-07,1620.0,1649.9,1600.05,1607.85,23600.0
24-Dec-07,1490.0,1500.0,1445.0,1456.05,108900.0
1-Jan-08,1528.0,1528.0,1501.0,1510.95,19800.0
11-Jan-08,1499.0,1505.0,1445.0,1457.2,79100.0
21-Jan-08,1386.0,1386.0,1241.55,1276.55,56100.0
1-Feb-08,1130.0,1176.0,1079.15,1132.7,133300.0
12-Feb-08,1265.0,1298.0,1255.0,1264.75,26800.0
3-Mar-08,1137.0,1137.0,1095.0,1109.65,230300.0
13-Mar-08,1102.0,1128.0,1080.0,1103.3,138500.0
24-Mar-08,1125.0,1139.9,1071.0,1104.25,47100.0
1-Apr-08,1188.0,1208.0,1161.8,1195.15,18000.0
11-Apr-08,1105.0,1135.0,1095.0,1117.6,29400.0
21-Apr-08,1179.0,1205.0,1160.0,867.0988169014084,19400.0
2-May-08,1120.0,1159.0,1115.0,1126.55,90100.0
12-May-08,1055.0,1086.0,1032.8,1072.5,32800.0
22-May-08,1029.0,1030.9,996.5,1001.1,107800.0
2-Jun-08,1040.0,1065.0,1015.05,1025.65,151200.0
23-Jun-08,918.0,921.0,878.05,890.95,30200.0
1-Jul-08,813.5,813.5,755.0,769.7,77900.0
11-Jul-08,890.2917679558011,928.0,838.0,851.75,45100.0
21-Jul-08,900.0,914.95,878.5,891.05,116800.0
11-Aug-08,874.5,896.9,845.0,876.15,74800.0
21-Aug-08,890.0,910.0,885.0,899.1,70100.0
1-Sep-08,880.0,899.0,865.0,894.1,51800.0
11-Sep-08,890.0,890.9,856.3574719101124,874.75,22600.0
22-Sep-08,840.0,858.8929178470254,821.15,832.4,30000.0
1-Oct-08,795.0,804.8,789.0,791.15,125500.0
10-Oct-08,642.0,690.25,615.0,641.35,113300.0
3-Nov-08,560.0,578.0,547.95,560.9,67200.0
14-Nov-08,480.0,490.0,455.0,461.05,219600.0
24-Nov-08,428.0,444.0,421.1,429.0,71300.0
11-Dec-08,466.25,469.0,448.45,452.9,99600.0
22-Dec-08,474.0,858.8929178470254,461.25,466.1,78300.0
1-Jan-09,456.0,476.0,456.0,473.8,72400.0
12-Jan-09,487.9,493.05,470.0,477.8,52800.0
21-Jan-09,435.0,458.0,430.0,440.1,50500.0
2-Feb-09,480.0,480.0,451.1,455.1,24100.0
12-Feb-09,467.0,475.0,453.4,455.1,54000.0
20-Feb-09,385.0,405.5,365.2,400.35,843600.0
2-Mar-09,364.0,366.0,354.0,867.0988169014084,69200.0
12-Mar-09,890.2917679558011,650.8,354.0,363.6,219500.0
23-Mar-09,373.5,472.0,366.0,372.3,94300.0
1-Apr-09,427.4,433.0,414.05,424.3,139400.0
10-Apr-09,458.75,458.75,458.75,458.75,0.0
21-Apr-09,540.0,544.4,525.0,529.55,92800.0
1-May-09,1447.35,487.35,487.35,487.35,0.0
11-May-09,474.0,479.0,458.2,465.5,63500.0
21-May-09,661.0,662.0,613.0,617.1,79000.0
1-Jun-09,660.0,677.0,649.1,669.1,125200.0
11-Jun-09,785.0,785.0,743.0,755.0,76800.0
22-Jun-09,745.0,767.0,732.15,737.5,61000.0
1-Jul-09,780.0,794.5,749.0,780.7,69800.0
10-Jul-09,715.0,724.0,675.05,695.4,35100.0
21-Jul-09,731.0,752.0,723.6,737.0,67100.0
13-Aug-09,664.0,689.0,664.0,685.05,78700.0
24-Aug-09,715.0,728.0,715.0,716.5,85500.0
11-Sep-09,738.0,752.0,735.0,742.25,30200.0
1-Oct-09,780.0,794.85,774.5,784.55,38500.0
12-Oct-09,788.0,858.8929178470254,778.3,790.05,66800.0
2-Nov-09,1727.85,767.85,767.85,767.85,0.0
12-Nov-09,771.0,776.5,755.35,767.8,122300.0
23-Nov-09,773.45,778.8,764.0,766.55,46900.0
11-Dec-09,746.0,759.0,741.1,751.2,144600.0
21-Dec-09,764.2,766.0,749.0,753.3,272000.0
1-Jan-10,767.25,767.25,767.25,767.25,0.0
21-Jan-10,855.9,880.0,831.25,837.4,81200.0
1-Feb-10,811.95,822.9,805.0,813.15,44500.0
22-Feb-10,812.0,820.0,798.5,800.9,27200.0
2-Mar-10,794.0,796.5,775.25,782.9,44400.0
12-Mar-10,874.95,875.0,862.35,869.8,47100.0
22-Mar-10,842.0,850.0,825.0,833.5,42000.0
1-Apr-10,840.0,840.95,825.0,828.0,48800.0
12-Apr-10,851.0,853.9,837.1,844.05,47500.0
21-Apr-10,861.0,864.85,848.0,851.25,25000.0
3-May-10,799.8,799.8,741.0,744.25,126900.0
13-May-10,689.0,696.0,683.0,689.15,48800.0
11-Jun-10,865.0,865.0,854.0,858.6,13300.0
21-Jun-10,862.1,879.9,859.2,867.0988169014084,68800.0
1-Jul-10,867.0,867.0,858.15,860.05,48800.0
12-Jul-10,865.0,866.7,860.5,865.05,33500.0
21-Jul-10,855.0,860.1,846.0,847.95,58300.0
2-Aug-10,813.0,813.0,796.0,803.25,71500.0
12-Aug-10,804.0,804.0,771.1,782.0,19900.0
23-Aug-10,771.0,784.9,771.0,777.6,20800.0
9-Sep-10,785.0,786.5,780.4,782.85,5100.0
21-Sep-10,865.0,858.8929178470254,840.0,856.0,18400.0
11-Oct-10,932.0,932.85,914.0,922.25,10600.0
21-Oct-10,895.75,906.0,870.0,867.0988169014084,6700.0
1-Nov-10,822.5,845.0,813.25,841.65,11000.0
11-Nov-10,890.2917679558011,898.0,855.0,857.95,27300.0
22-Nov-10,840.0,859.95,824.6,850.4,10200.0
1-Dec-10,769.0,814.0,765.2,794.05,20600.0
21-Dec-10,770.0,775.0,752.2,760.7,24500.0
3-Jan-11,798.0,824.95,796.0,810.55,17600.0
1-Feb-11,753.0,753.0,712.1,717.25,23700.0
11-Feb-11,647.9,654.55,626.35,642.4,12800.0
21-Feb-11,668.35,668.9,657.05,662.6,16100.0
1-Mar-11,670.0,685.0,666.2,682.85,10400.0
11-Mar-11,736.5,749.0,720.0,734.7,37100.0
21-Mar-11,750.0,768.85,740.0,742.1,28300.0
1-Apr-11,797.25,800.0,775.0,783.15,13500.0
11-Apr-11,804.0,804.0,790.0,801.05,13500.0
21-Apr-11,840.0,841.8,825.05,827.5,7200.0
12-May-11,888.0,890.0,861.3,864.05,36900.0
1-Jun-11,866.1,871.85,851.05,858.95,9500.0
10-Jun-11,844.25,847.75,837.7,839.2,3500.0
21-Jun-11,824.55,837.0,818.1,828.95,6000.0
1-Jul-11,876.1,878.0,862.0,864.1,3700.0
11-Jul-11,861.15,877.5,852.05,871.65,19200.0
21-Jul-11,856.0,881.3,855.0,879.35,16600.0
1-Aug-11,870.0,880.0,862.15,864.15,4600.0
11-Aug-11,793.0,819.05,782.35,799.5,7300.0
22-Aug-11,763.1,799.0,763.0,796.1,9100.0
22-Sep-11,814.85,815.9,786.0,795.5,14900.0
3-Oct-11,687.0,692.0,675.0,683.4,10700.0
13-Oct-11,688.0,702.7,682.9,867.0988169014084,38400.0
24-Oct-11,703.0,706.5,678.5,680.1,15700.0
1-Nov-11,740.0,740.0,687.0,690.8,13800.0
11-Nov-11,702.1,702.1,681.0,698.6,19600.0
12-Dec-11,610.0,610.0,585.0,586.7,9500.0
22-Dec-11,568.7,573.0,556.05,570.25,6100.0
2-Jan-12,580.0,587.7,580.0,580.85,3000.0
12-Jan-12,637.0,685.55,637.0,867.0988169014084,38200.0
23-Jan-12,737.0,766.95,726.2,756.4,23600.0
